slice,model,ndcg_at_10,exact_mrr_at_10,es_recall_at_5,ci_exposure_at_5,n_queries,es_recall_queries
one_or_two_tokens,word_tfidf,0.6617597022423206,0.7176822706483724,0.2998862456932241,0.23502824858757068,177,177
one_or_two_tokens,combined_lexical,0.7193561242578412,0.7770222401578334,0.3159377840719038,0.21016949152542375,177,177
one_or_two_tokens,lightgbm_ranker,0.7399180014731345,0.8327706035333156,0.317275834289279,0.2022598870056497,177,177
contains_number_or_model_token,word_tfidf,0.6045718108192348,0.6152059712773997,0.2864054907926702,0.21047619047619048,210,210
contains_number_or_model_token,combined_lexical,0.625654892964259,0.6711715797430082,0.2864041749705523,0.20857142857142855,210,210
contains_number_or_model_token,lightgbm_ranker,0.7058107448358412,0.758514739229025,0.2970123331258225,0.18761904761904766,210,210
long_query_5_plus_tokens,word_tfidf,0.642247589682321,0.6794305870496347,0.29084018822112395,0.1746031746031746,315,315
long_query_5_plus_tokens,combined_lexical,0.6608843075148112,0.7086822877299068,0.29298641845406714,0.1726984126984127,315,315
long_query_5_plus_tokens,lightgbm_ranker,0.6893657494580115,0.7498059964726632,0.2983967349121753,0.1638095238095238,315,315
low_lexical_overlap,word_tfidf,0.6274666952228928,0.6654017857142857,0.3194084439295876,0.2941666666666667,240,240
low_lexical_overlap,combined_lexical,0.6716182371094724,0.718761574074074,0.3430581141831381,0.25416666666666665,240,240
low_lexical_overlap,lightgbm_ranker,0.6801597460255963,0.7268171296296296,0.34262556456610205,0.2416666666666667,240,240
